domain,arm,n_roi,K,tp_sum,delivered_sum,precision_pooled,precision_worst_roi,worst_roi_file
canine cutaneous mast cell tumor,chromatin_od,2,10,15,20,0.75,0.6,301.tiff
canine cutaneous mast cell tumor,chromatin_od,2,20,33,40,0.825,0.75,301.tiff
canine cutaneous mast cell tumor,chromatin_od,2,30,52,60,0.8667,0.8333,301.tiff
canine cutaneous mast cell tumor,chromatin_od,2,50,84,100,0.84,0.82,301.tiff
canine cutaneous mast cell tumor,mask_od_mean,2,10,13,20,0.65,0.4,301.tiff
canine cutaneous mast cell tumor,mask_od_mean,2,20,30,40,0.75,0.65,301.tiff
canine cutaneous mast cell tumor,mask_od_mean,2,30,47,60,0.7833,0.7,301.tiff
canine cutaneous mast cell tumor,mask_od_mean,2,50,76,100,0.76,0.68,301.tiff
canine cutaneous mast cell tumor,od31,2,10,16,20,0.8,0.6,301.tiff
canine cutaneous mast cell tumor,od31,2,20,35,40,0.875,0.8,301.tiff
canine cutaneous mast cell tumor,od31,2,30,53,60,0.8833,0.8333,301.tiff
canine cutaneous mast cell tumor,od31,2,50,89,100,0.89,0.86,301.tiff
canine cutaneous mast cell tumor,od_contrast,2,10,15,20,0.75,0.6,301.tiff
canine cutaneous mast cell tumor,od_contrast,2,20,33,40,0.825,0.75,301.tiff
canine cutaneous mast cell tumor,od_contrast,2,30,50,60,0.8333,0.8,301.tiff
canine cutaneous mast cell tumor,od_contrast,2,50,85,100,0.85,0.82,301.tiff
canine cutaneous mast cell tumor,od_falloff,2,10,20,20,1.0,1.0,300.tiff
canine cutaneous mast cell tumor,od_falloff,2,20,38,40,0.95,0.95,300.tiff
canine cutaneous mast cell tumor,od_falloff,2,30,54,60,0.9,0.9,300.tiff
canine cutaneous mast cell tumor,od_falloff,2,50,87,100,0.87,0.86,301.tiff
canine cutaneous mast cell tumor,tm_score,2,10,16,20,0.8,0.7,300.tiff
canine cutaneous mast cell tumor,tm_score,2,20,30,40,0.75,0.7,300.tiff
canine cutaneous mast cell tumor,tm_score,2,30,44,60,0.7333,0.6667,300.tiff
canine cutaneous mast cell tumor,tm_score,2,50,70,100,0.7,0.64,300.tiff
canine lung cancer,chromatin_od,2,10,8,20,0.4,0.3,201.tiff
canine lung cancer,chromatin_od,2,20,15,40,0.375,0.3,201.tiff
canine lung cancer,chromatin_od,2,30,19,60,0.3167,0.3,201.tiff
canine lung cancer,chromatin_od,2,50,20,100,0.2,0.2,201.tiff
canine lung cancer,mask_od_mean,2,10,10,20,0.5,0.4,201.tiff
canine lung cancer,mask_od_mean,2,20,14,40,0.35,0.2,201.tiff
canine lung cancer,mask_od_mean,2,30,16,60,0.2667,0.1667,201.tiff
canine lung cancer,mask_od_mean,2,50,20,100,0.2,0.16,201.tiff
canine lung cancer,od31,2,10,11,20,0.55,0.4,201.tiff
canine lung cancer,od31,2,20,17,40,0.425,0.35,201.tiff
canine lung cancer,od31,2,30,18,60,0.3,0.2333,201.tiff
canine lung cancer,od31,2,50,21,100,0.21,0.18,201.tiff
canine lung cancer,od_contrast,2,10,12,20,0.6,0.4,201.tiff
canine lung cancer,od_contrast,2,20,17,40,0.425,0.35,201.tiff
canine lung cancer,od_contrast,2,30,18,60,0.3,0.2667,201.tiff
canine lung cancer,od_contrast,2,50,21,100,0.21,0.18,201.tiff
canine lung cancer,od_falloff,2,10,5,20,0.25,0.2,201.tiff
